label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Antifungal_004,350.0,73.0,117.0,76.0,0.6916,0.5101,0.3938,0.69,0.4444,0.2396
Antiviral_004,497.0,20.0,60.0,39.0,0.8701,0.661,0.3939,0.8289,0.4937,0.4434
Anticancer_004,531.0,13.0,68.0,4.0,0.8685,0.2353,0.0556,0.684,0.0899,0.0621
macro_004,,,,,0.7922,0.5765,0.4777,0.754,0.5075,0.3176
Antibacterial_004,75.0,73.0,38.0,430.0,0.8198,0.8549,0.9188,0.8098,0.8857,0.4698
MammalianCells_004,270.0,82.0,113.0,151.0,0.6834,0.6481,0.572,0.7431,0.6076,0.346
Antifungal_004,372.0,50.0,125.0,69.0,0.7159,0.5798,0.3557,0.7152,0.4409,0.2791
Antiviral_004,500.0,16.0,57.0,43.0,0.8815,0.7288,0.43,0.8449,0.5409,0.5
Anticancer_004,512.0,16.0,84.0,4.0,0.8377,0.2,0.0455,0.637,0.0741,0.0299
macro_004,,,,,0.7877,0.6023,0.4644,0.75,0.5098,0.325
Antibacterial_004,64.0,70.0,44.0,438.0,0.8149,0.8622,0.9087,0.7941,0.8848,0.4192
MammalianCells_004,274.0,98.0,106.0,138.0,0.6688,0.5847,0.5656,0.7023,0.575,0.304
Antifungal_004,366.0,37.0,149.0,64.0,0.6981,0.6337,0.3005,0.6715,0.4076,0.268
Antiviral_004,506.0,29.0,48.0,33.0,0.875,0.5323,0.4074,0.8267,0.4615,0.3967
Anticancer_004,528.0,5.0,79.0,4.0,0.8636,0.4444,0.0482,0.6701,0.087,0.1104
macro_004,,,,,0.7841,0.6115,0.4461,0.7329,0.4832,0.2997
Antibacterial_004,68.0,73.0,40.0,435.0,0.8166,0.8563,0.9158,0.789,0.885,0.4398
MammalianCells_004,269.0,93.0,103.0,151.0,0.6818,0.6189,0.5945,0.7602,0.6064,0.3398
Antifungal_004,377.0,41.0,143.0,55.0,0.7013,0.5729,0.2778,0.6354,0.3741,0.2314
Antiviral_004,499.0,29.0,50.0,38.0,0.8718,0.5672,0.4318,0.8027,0.4903,0.4236
Anticancer_004,538.0,6.0,65.0,7.0,0.8847,0.5385,0.0972,0.7094,0.1647,0.1927
macro_004,,,,,0.7912,0.6307,0.4634,0.7394,0.5041,0.3255
Antibacterial_004,81.0,74.0,38.0,423.0,0.8182,0.8511,0.9176,0.8082,0.8831,0.4838
MammalianCells_004,268.0,97.0,89.0,162.0,0.6981,0.6255,0.6454,0.7453,0.6353,0.3779
Antifungal_004,372.0,44.0,140.0,60.0,0.7013,0.5769,0.3,0.659,0.3947,0.2428
Antiviral_004,489.0,23.0,62.0,42.0,0.862,0.6462,0.4038,0.8357,0.497,0.4376
Anticancer_004,524.0,13.0,73.0,6.0,0.8604,0.3158,0.0759,0.7051,0.1224,0.1001
macro_004,,,,,0.788,0.6031,0.4686,0.7507,0.5065,0.3284
Antibacterial_004,79.0,82.0,43.0,412.0,0.7971,0.834,0.9055,0.7991,0.8683,0.4368
MammalianCells_004,303.0,74.0,98.0,141.0,0.7208,0.6558,0.59,0.7882,0.6211,0.4025
Antifungal_004,392.0,50.0,117.0,57.0,0.7289,0.5327,0.3276,0.6914,0.4057,0.2549
Antiviral_004,478.0,28.0,60.0,50.0,0.8571,0.641,0.4545,0.7995,0.5319,0.4598
Anticancer_004,525.0,8.0,82.0,1.0,0.8539,0.1111,0.012,0.6644,0.0217,-0.0084
macro_004,,,,,0.7916,0.5549,0.4579,0.7485,0.4898,0.3091
Antibacterial_004,72.0,78.0,40.0,426.0,0.8084,0.8452,0.9142,0.8005,0.8784,0.4386
MammalianCells_004,249.0,113.0,99.0,155.0,0.6558,0.5784,0.6102,0.7161,0.5939,0.296
Antifungal_004,369.0,40.0,144.0,63.0,0.7013,0.6117,0.3043,0.6788,0.4065,0.2615
Antiviral_004,494.0,27.0,49.0,46.0,0.8766,0.6301,0.4842,0.8655,0.5476,0.4832
Anticancer_004,515.0,9.0,86.0,6.0,0.8458,0.4,0.0652,0.6475,0.1121,0.1111
macro_004,,,,,0.7776,0.6131,0.4756,0.7417,0.5077,0.3181
Antibacterial_004,77.0,69.0,42.0,428.0,0.8198,0.8612,0.9106,0.8169,0.8852,0.4718
MammalianCells_004,259.0,99.0,102.0,156.0,0.6737,0.6118,0.6047,0.741,0.6082,0.3287
Antifungal_004,350.0,53.0,128.0,85.0,0.7062,0.6159,0.3991,0.6932,0.4843,0.3052
Antiviral_004,498.0,27.0,44.0,47.0,0.8847,0.6351,0.5165,0.8597,0.5697,0.5076
Anticancer_004,525.0,18.0,70.0,3.0,0.8571,0.1429,0.0411,0.6654,0.0638,0.0142
macro_004,,,,,0.7883,0.5734,0.4944,0.7552,0.5223,0.3255
Antibacterial_004,63.0,84.0,46.0,423.0,0.789,0.8343,0.9019,0.7944,0.8668,0.3691
MammalianCells_004,257.0,83.0,106.0,170.0,0.6932,0.6719,0.6159,0.7486,0.6427,0.3759
Antifungal_004,365.0,40.0,148.0,63.0,0.6948,0.6117,0.2986,0.6729,0.4013,0.2541
Antiviral_004,483.0,32.0,66.0,35.0,0.8409,0.5224,0.3465,0.7881,0.4167,0.3382
Anticancer_004,509.0,13.0,85.0,9.0,0.8409,0.4091,0.0957,0.6209,0.1552,0.1373
macro_004,,,,,0.7718,0.6099,0.4517,0.725,0.4965,0.2949
Antibacterial_005,78.0,73.0,45.0,420.0,0.8084,0.8519,0.9032,0.788,0.8768,0.4517
MammalianCells_005,302.0,75.0,90.0,149.0,0.7321,0.6652,0.6234,0.7721,0.6436,0.43
Antifungal_005,336.0,76.0,117.0,87.0,0.6867,0.5337,0.4265,0.6725,0.4741,0.2582
Antiviral_005,471.0,37.0,69.0,39.0,0.8279,0.5132,0.3611,0.7529,0.4239,0.3333
Anticancer_005,505.0,33.0,59.0,19.0,0.8506,0.3654,0.2436,0.6908,0.2923,0.218
macro_005,,,,,0.7812,0.5859,0.5116,0.7353,0.5422,0.3382
Antibacterial_005,76.0,66.0,48.0,426.0,0.8149,0.8659,0.8987,0.8086,0.882,0.4558
MammalianCells_005,303.0,78.0,92.0,143.0,0.724,0.6471,0.6085,0.7599,0.6272,0.4089
Antifungal_005,331.0,92.0,101.0,92.0,0.6867,0.5,0.4767,0.6777,0.4881,0.2627
Antiviral_005,494.0,23.0,63.0,36.0,0.8604,0.6102,0.3636,0.82,0.4557,0.3983
Anticancer_005,516.0,28.0,61.0,11.0,0.8555,0.2821,0.1528,0.6181,0.1982,0.1337
macro_005,,,,,0.7883,0.581,0.5001,0.7369,0.5302,0.3319
Antibacterial_005,79.0,69.0,40.0,428.0,0.8231,0.8612,0.9145,0.8095,0.887,0.4852
MammalianCells_005,272.0,80.0,123.0,141.0,0.6705,0.638,0.5341,0.7362,0.5814,0.3166
Antifungal_005,347.0,75.0,113.0,81.0,0.6948,0.5192,0.4175,0.6832,0.4629,0.2561
Antiviral_005,496.0,20.0,57.0,43.0,0.875,0.6825,0.43,0.8325,0.5276,0.4761
Anticancer_005,500.0,28.0,73.0,15.0,0.836,0.3488,0.1705,0.618,0.229,0.1613
macro_005,,,,,0.7799,0.61,0.4933,0.7359,0.5376,0.3391
Antibacterial_005,73.0,61.0,57.0,425.0,0.8084,0.8745,0.8817,0.7591,0.8781,0.4312
MammalianCells_005,279.0,93.0,119.0,125.0,0.6558,0.5734,0.5123,0.6991,0.5411,0.2683
Antifungal_005,338.0,65.0,132.0,81.0,0.6802,0.5548,0.3803,0.662,0.4513,0.2449
Antiviral_005,504.0,31.0,43.0,38.0,0.8799,0.5507,0.4691,0.7363,0.5067,0.4406
Anticancer_005,507.0,26.0,70.0,13.0,0.8442,0.3333,0.1566,0.6929,0.2131,0.1512
macro_005,,,,,0.7737,0.5773,0.48,0.7099,0.5181,0.3072
Antibacterial_005,75.0,66.0,52.0,423.0,0.8084,0.865,0.8905,0.7952,0.8776,0.4387
MammalianCells_005,263.0,99.0,94.0,160.0,0.6867,0.6178,0.6299,0.7288,0.6238,0.3554
Antifungal_005,327.0,91.0,108.0,90.0,0.6769,0.4972,0.4545,0.6733,0.4749,0.2428
Antiviral_005,491.0,37.0,50.0,38.0,0.8588,0.5067,0.4318,0.8199,0.4663,0.3871
Anticancer_005,512.0,32.0,59.0,13.0,0.8523,0.2889,0.1806,0.7109,0.2222,0.1503
macro_005,,,,,0.7766,0.5551,0.5175,0.7456,0.533,0.3149
Antibacterial_005,83.0,72.0,48.0,413.0,0.8052,0.8515,0.8959,0.8029,0.8732,0.4575
MammalianCells_005,273.0,92.0,110.0,141.0,0.6721,0.6052,0.5618,0.7269,0.5826,0.3138
