label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Antifungal_005,397.0,15.0,196.0,8.0,0.6575,0.3478,0.0392,0.6314,0.0705,0.007
Antiviral_005,503.0,5.0,90.0,18.0,0.8458,0.7826,0.1667,0.7887,0.2748,0.3145
Anticancer_005,538.0,0.0,78.0,0.0,0.8734,,0.0,0.6584,,
macro_005,,,,,0.7656,0.6221,0.339,0.7127,0.4396,0.2343
Antibacterial_005,32.0,110.0,23.0,451.0,0.7841,0.8039,0.9515,0.7611,0.8715,0.2612
MammalianCells_005,285.0,96.0,98.0,137.0,0.6851,0.588,0.583,0.7099,0.5855,0.3316
Antifungal_005,416.0,7.0,186.0,7.0,0.6867,0.5,0.0363,0.645,0.0676,0.0614
Antiviral_005,506.0,11.0,83.0,16.0,0.8474,0.5926,0.1616,0.7549,0.254,0.2518
Anticancer_005,544.0,0.0,72.0,0.0,0.8831,,0.0,0.66,,
macro_005,,,,,0.7773,0.6211,0.3465,0.7062,0.4446,0.2265
Antibacterial_005,32.0,116.0,18.0,450.0,0.7825,0.7951,0.9615,0.7375,0.8704,0.2781
MammalianCells_005,251.0,101.0,127.0,137.0,0.6299,0.5756,0.5189,0.6881,0.5458,0.2358
Antifungal_005,413.0,9.0,182.0,12.0,0.6899,0.5714,0.0619,0.6525,0.1116,0.1037
Antiviral_005,506.0,10.0,81.0,19.0,0.8523,0.6552,0.19,0.7657,0.2946,0.2971
Anticancer_005,528.0,0.0,88.0,0.0,0.8571,,0.0,0.6707,,
macro_005,,,,,0.7623,0.6493,0.3465,0.7029,0.4556,0.2287
Antibacterial_005,24.0,110.0,19.0,463.0,0.7906,0.808,0.9606,0.7542,0.8777,0.2262
MammalianCells_005,239.0,133.0,95.0,149.0,0.6299,0.5284,0.6107,0.6694,0.5665,0.2485
Antifungal_005,401.0,2.0,212.0,1.0,0.6526,0.3333,0.0047,0.5875,0.0093,-0.0018
Antiviral_005,528.0,7.0,62.0,19.0,0.888,0.7308,0.2346,0.7313,0.3551,0.3723
Anticancer_005,533.0,0.0,83.0,0.0,0.8653,,0.0,0.5998,,
macro_005,,,,,0.7653,0.6001,0.3621,0.6684,0.4522,0.2113
Antibacterial_005,49.0,92.0,42.0,433.0,0.7825,0.8248,0.9116,0.7408,0.866,0.3068
MammalianCells_005,263.0,99.0,121.0,133.0,0.6429,0.5733,0.5236,0.6886,0.5473,0.2541
Antifungal_005,376.0,42.0,157.0,41.0,0.6769,0.494,0.2071,0.5719,0.2918,0.1458
Antiviral_005,512.0,16.0,71.0,17.0,0.8588,0.5152,0.1932,0.7544,0.281,0.2531
Anticancer_005,544.0,0.0,72.0,0.0,0.8831,,0.0,0.6665,,
macro_005,,,,,0.7688,0.6018,0.3671,0.6844,0.4965,0.24
Antibacterial_005,36.0,119.0,34.0,427.0,0.7516,0.7821,0.9262,0.7261,0.8481,0.2167
MammalianCells_005,228.0,137.0,80.0,171.0,0.6477,0.5552,0.6813,0.6896,0.6118,0.3006
Antifungal_005,400.0,16.0,189.0,11.0,0.6672,0.4074,0.055,0.5759,0.0969,0.0378
Antiviral_005,497.0,15.0,86.0,18.0,0.836,0.5455,0.1731,0.7497,0.2628,0.2392
Anticancer_005,537.0,0.0,79.0,0.0,0.8718,,0.0,0.6809,,
macro_005,,,,,0.7549,0.5725,0.3671,0.6844,0.4549,0.1986
Antibacterial_005,49.0,112.0,39.0,416.0,0.7549,0.7879,0.9143,0.752,0.8464,0.2745
MammalianCells_005,305.0,72.0,130.0,109.0,0.6721,0.6022,0.4561,0.7198,0.519,0.2836
Antifungal_005,424.0,18.0,164.0,10.0,0.7045,0.3571,0.0575,0.5974,0.099,0.0362
Antiviral_005,491.0,15.0,96.0,14.0,0.8198,0.4828,0.1273,0.7199,0.2014,0.1765
Anticancer_005,533.0,0.0,83.0,0.0,0.8653,,0.0,0.6254,,
macro_005,,,,,0.7633,0.5575,0.311,0.6829,0.4165,0.1927
Antibacterial_005,29.0,121.0,16.0,450.0,0.7776,0.7881,0.9657,0.7794,0.8679,0.2622
MammalianCells_005,224.0,138.0,78.0,176.0,0.6494,0.5605,0.6929,0.6916,0.6197,0.3069
Antifungal_005,405.0,4.0,203.0,4.0,0.664,0.5,0.0193,0.6114,0.0372,0.0398
Antiviral_005,512.0,9.0,84.0,11.0,0.849,0.55,0.1158,0.7974,0.1913,0.2007
Anticancer_005,524.0,0.0,92.0,0.0,0.8506,,0.0,0.6319,,
macro_005,,,,,0.7581,0.5997,0.3587,0.7024,0.429,0.2024
Antibacterial_005,45.0,101.0,25.0,445.0,0.7955,0.815,0.9468,0.7689,0.876,0.3417
MammalianCells_005,298.0,60.0,151.0,107.0,0.6575,0.6407,0.4147,0.7089,0.5035,0.2743
Antifungal_005,395.0,8.0,205.0,8.0,0.6542,0.5,0.0376,0.5769,0.0699,0.0529
Antiviral_005,514.0,11.0,68.0,23.0,0.8718,0.6765,0.2527,0.787,0.368,0.3602
Anticancer_005,543.0,0.0,73.0,0.0,0.8815,,0.0,0.6871,,
macro_005,,,,,0.7721,0.6581,0.3304,0.7058,0.4543,0.2573
Antibacterial_005,41.0,106.0,15.0,454.0,0.8036,0.8107,0.968,0.7644,0.8824,0.3661
MammalianCells_005,224.0,116.0,87.0,189.0,0.6705,0.6197,0.6848,0.7188,0.6506,0.3418
Antifungal_005,399.0,6.0,205.0,6.0,0.6575,0.5,0.0284,0.6149,0.0538,0.0468
Antiviral_005,508.0,7.0,85.0,16.0,0.8506,0.6957,0.1584,0.7282,0.2581,0.2828
Anticancer_005,522.0,0.0,94.0,0.0,0.8474,,0.0,0.628,,
macro_005,,,,,0.7659,0.6565,0.3679,0.6909,0.4612,0.2594
Antibacterial_006,30.0,121.0,14.0,451.0,0.7808,0.7885,0.9699,0.778,0.8698,0.2816
MammalianCells_006,270.0,107.0,94.0,145.0,0.6737,0.5754,0.6067,0.7096,0.5906,0.32
Antifungal_006,390.0,22.0,184.0,20.0,0.6656,0.4762,0.098,0.6513,0.1626,0.0834
Antiviral_006,498.0,10.0,88.0,20.0,0.8409,0.6667,0.1852,0.7632,0.2899,0.2924
Anticancer_006,538.0,0.0,78.0,0.0,0.8734,,0.0,0.7017,,
macro_006,,,,,0.7669,0.6267,0.372,0.7208,0.4782,0.2444
Antibacterial_006,40.0,102.0,33.0,441.0,0.7808,0.8122,0.9304,0.7439,0.8673,0.2763
MammalianCells_006,339.0,42.0,165.0,70.0,0.664,0.625,0.2979,0.7115,0.4035,0.2363
Antifungal_006,412.0,11.0,179.0,14.0,0.6916,0.56,0.0725,0.6423,0.1284,0.1094
Antiviral_006,502.0,15.0,84.0,15.0,0.8393,0.5,0.1515,0.7574,0.2326,0.209
Anticancer_006,544.0,0.0,72.0,0.0,0.8831,,0.0,0.6734,,
macro_006,,,,,0.7718,0.6243,0.2905,0.7057,0.4079,0.2077
Antibacterial_006,30.0,118.0,19.0,449.0,0.7776,0.7919,0.9594,0.7468,0.8676,0.256
MammalianCells_006,251.0,101.0,118.0,146.0,0.6445,0.5911,0.553,0.6858,0.5714,0.2687
Antifungal_006,411.0,11.0,185.0,9.0,0.6818,0.45,0.0464,0.6369,0.0841,0.0533
Antiviral_006,506.0,10.0,83.0,17.0,0.849,0.6296,0.17,0.7772,0.2677,0.2713
Anticancer_006,528.0,0.0,88.0,0.0,0.8571,,0.0,0.6834,,
macro_006,,,,,0.762,0.6157,0.3458,0.706,0.4477,0.2123
Antibacterial_006,37.0,97.0,34.0,448.0,0.7873,0.822,0.9295,0.7424,0.8724,0.2656
MammalianCells_006,272.0,100.0,115.0,129.0,0.651,0.5633,0.5287,0.6777,0.5455,0.263
Antifungal_006,393.0,10.0,209.0,4.0,0.6445,0.2857,0.0188,0.5967,0.0352,-0.0193
Antiviral_006,524.0,11.0,62.0,19.0,0.8815,0.6333,0.2346,0.7103,0.3423,0.336
Anticancer_006,525.0,8.0,83.0,0.0,0.8523,0.0,0.0,0.6193,,-0.0453
macro_006,,,,,0.7633,0.4609,0.3423,0.6693,0.4489,0.16
Antibacterial_006,31.0,110.0,14.0,461.0,0.7987,0.8074,0.9705,0.738,0.8815,0.3074
MammalianCells_006,262.0,100.0,114.0,140.0,0.6526,0.5833,0.5512,0.6873,0.5668,0.2775
Antifungal_006,415.0,3.0,197.0,1.0,0.6753,0.25,0.0051,0.5676,0.0099,-0.0124
Antiviral_006,514.0,14.0,70.0,18.0,0.8636,0.5625,0.2045,0.7645,0.3,0.2807
Anticancer_006,544.0,0.0,72.0,0.0,0.8831,,0.0,0.6719,,
macro_006,,,,,0.7747,0.5508,0.3463,0.6859,0.4395,0.2133
Antibacterial_006,41.0,114.0,40.0,421.0,0.75,0.7869,0.9132,0.7329,0.8454,0.2282
MammalianCells_006,260.0,105.0,104.0,147.0,0.6607,0.5833,0.5857,0.7174,0.5845,0.2978
Antifungal_006,397.0,19.0,192.0,8.0,0.6575,0.2963,0.04,0.587,0.0705,-0.013
Antiviral_006,499.0,13.0,85.0,19.0,0.8409,0.5938,0.1827,0.7617,0.2794,0.2655
Anticancer_006,537.0,0.0,79.0,0.0,0.8718,,0.0,0.6867,,
macro_006,,,,,0.7562,0.5651,0.3443,0.6971,0.4449,0.1946
Antibacterial_006,35.0,126.0,21.0,434.0,0.7614,0.775,0.9538,0.7463,0.8552,0.2617
MammalianCells_006,269.0,108.0,92.0,147.0,0.6753,0.5765,0.6151,0.7195,0.5951,0.3251
Antifungal_006,357.0,85.0,116.0,58.0,0.6737,0.4056,0.3333,0.6123,0.3659,0.1504
Antiviral_006,492.0,14.0,92.0,18.0,0.8279,0.5625,0.1636,0.7056,0.2535,0.2347
Anticancer_006,533.0,0.0,82.0,1.0,0.8669,1.0,0.012,0.6261,0.0238,0.1022
macro_006,,,,,0.761,0.6639,0.4156,0.6819,0.4187,0.2148
Antibacterial_006,22.0,128.0,10.0,456.0,0.776,0.7808,0.9785,0.7746,0.8686,0.2422
MammalianCells_006,248.0,114.0,94.0,160.0,0.6623,0.5839,0.6299,0.7157,0.6061,0.312
Antifungal_006,384.0,25.0,186.0,21.0,0.6575,0.4565,0.1014,0.6107,0.166,0.0725
Antiviral_006,509.0,12.0,82.0,13.0,0.8474,0.52,0.1368,0.8007,0.2167,0.2083
Anticancer_006,524.0,0.0,92.0,0.0,0.8506,,0.0,0.6413,,
macro_006,,,,,0.7588,0.5853,0.3694,0.7086,0.4643,0.2088
Antibacterial_006,34.0,112.0,18.0,452.0,0.789,0.8014,0.9617,0.7719,0.8743,0.2976
MammalianCells_006,261.0,97.0,102.0,156.0,0.6769,0.6166,0.6047,0.7174,0.6106,0.3347
Antifungal_006,391.0,12.0,198.0,15.0,0.6591,0.5556,0.0704,0.5937,0.125,0.0944
Antiviral_006,511.0,14.0,66.0,25.0,0.8701,0.641,0.2747,0.7913,0.3846,0.3614
Anticancer_006,543.0,0.0,73.0,0.0,0.8815,,0.0,0.6952,,
macro_006,,,,,0.7753,0.6537,0.3823,0.7139,0.4986,0.272
Antibacterial_006,34.0,113.0,17.0,452.0,0.789,0.8,0.9638,0.7746,0.8743,0.3017
MammalianCells_006,269.0,71.0,136.0,140.0,0.664,0.6635,0.5072,0.7302,0.5749,0.3127
Antifungal_006,393.0,12.0,192.0,19.0,0.6688,0.6129,0.09,0.5946,0.157,0.1312
Antiviral_006,508.0,7.0,85.0,16.0,0.8506,0.6957,0.1584,0.7264,0.2581,0.2828
Anticancer_006,522.0,0.0,94.0,0.0,0.8474,,0.0,0.6283,,
macro_006,,,,,0.764,0.693,0.3439,0.6908,0.4661,0.2571
Antibacterial_007,41.0,110.0,16.0,449.0,0.7955,0.8032,0.9656,0.7848,0.877,0.352
MammalianCells_007,270.0,107.0,84.0,155.0,0.6899,0.5916,0.6485,0.7272,0.6188,0.3595
Antifungal_007,401.0,11.0,190.0,14.0,0.6737,0.56,0.0686,0.6456,0.1223,0.1
Antiviral_007,499.0,9.0,83.0,25.0,0.8506,0.7353,0.2315,0.7828,0.3521,0.3559
Anticancer_007,538.0,0.0,78.0,0.0,0.8734,,0.0,0.6957,,
macro_007,,,,,0.7766,0.6725,0.3828,0.7272,0.4925,0.2918
Antibacterial_007,38.0,104.0,23.0,451.0,0.7938,0.8126,0.9515,0.7703,0.8766,0.3089
MammalianCells_007,284.0,97.0,111.0,124.0,0.6623,0.5611,0.5277,0.7076,0.5439,0.2765
Antifungal_007,357.0,66.0,131.0,62.0,0.6802,0.4844,0.3212,0.6721,0.3863,0.1889
Antiviral_007,504.0,13.0,79.0,20.0,0.8506,0.6061,0.202,0.7557,0.303,0.2885
Anticancer_007,542.0,2.0,72.0,0.0,0.8799,0.0,0.0,0.6834,,-0.0208
macro_007,,,,,0.7734,0.4928,0.4005,0.7178,0.5274,0.2084
Antibacterial_007,39.0,109.0,21.0,447.0,0.789,0.804,0.9551,0.7482,0.873,0.315
MammalianCells_007,249.0,103.0,112.0,152.0,0.651,0.5961,0.5758,0.7043,0.5857,0.2845
Antifungal_007,413.0,9.0,183.0,11.0,0.6883,0.55,0.0567,0.6493,0.1028,0.0927
Antiviral_007,505.0,11.0,83.0,17.0,0.8474,0.6071,0.17,0.7591,0.2656,0.2632
Anticancer_007,526.0,2.0,88.0,0.0,0.8539,0.0,0.0,0.7013,,-0.0233
macro_007,,,,,0.7659,0.5114,0.3515,0.7124,0.4568,0.1864
Antibacterial_007,37.0,97.0,33.0,449.0,0.789,0.8223,0.9315,0.7535,0.8735,0.2699
MammalianCells_007,252.0,120.0,102.0,142.0,0.6396,0.542,0.582,0.6813,0.5613,0.2566
Antifungal_007,389.0,14.0,204.0,9.0,0.6461,0.3913,0.0423,0.605,0.0763,0.0189
Antiviral_007,520.0,15.0,60.0,21.0,0.8782,0.5833,0.2593,0.7219,0.359,0.3331
Anticancer_007,526.0,7.0,82.0,1.0,0.8555,0.125,0.012,0.6299,0.022,-0.0033
macro_007,,,,,0.7617,0.4928,0.3654,0.6783,0.3784,0.175
Antibacterial_007,50.0,91.0,32.0,443.0,0.8003,0.8296,0.9326,0.7395,0.8781,0.3552
MammalianCells_007,313.0,49.0,157.0,97.0,0.6656,0.6644,0.3819,0.7071,0.485,0.2854
Antifungal_007,408.0,10.0,196.0,2.0,0.6656,0.1667,0.0101,0.5606,0.019,-0.0467
Antiviral_007,517.0,11.0,69.0,19.0,0.8701,0.6333,0.2159,0.764,0.322,0.3171
Anticancer_007,544.0,0.0,69.0,3.0,0.888,1.0,0.0417,0.6818,0.08,0.1923
macro_007,,,,,0.7779,0.6588,0.3164,0.6906,0.3568,0.2207
Antibacterial_007,40.0,115.0,42.0,419.0,0.7451,0.7846,0.9089,0.7366,0.8422,0.2133
MammalianCells_007,323.0,42.0,186.0,65.0,0.6299,0.6075,0.259,0.7023,0.3631,0.1866
Antifungal_007,398.0,18.0,185.0,15.0,0.6705,0.4545,0.075,0.6162,0.1288,0.066
Antiviral_007,497.0,15.0,83.0,21.0,0.8409,0.5833,0.2019,0.7669,0.3,0.2757
Anticancer_007,536.0,1.0,79.0,0.0,0.8701,0.0,0.0,0.6869,,-0.0155
macro_007,,,,,0.7513,0.486,0.289,0.7018,0.4085,0.1452
Antibacterial_007,36.0,125.0,23.0,432.0,0.7597,0.7756,0.9495,0.752,0.8538,0.2584
MammalianCells_007,255.0,122.0,94.0,145.0,0.6494,0.5431,0.6067,0.7115,0.5731,0.2784
Antifungal_007,422.0,20.0,159.0,15.0,0.7094,0.4286,0.0862,0.6233,0.1435,0.0797
Antiviral_007,491.0,15.0,91.0,19.0,0.8279,0.5588,0.1727,0.7078,0.2639,0.24
Anticancer_007,533.0,0.0,83.0,0.0,0.8653,,0.0,0.6116,,
macro_007,,,,,0.7623,0.5765,0.363,0.6813,0.4586,0.2141
Antibacterial_007,41.0,109.0,17.0,449.0,0.7955,0.8047,0.9635,0.784,0.877,0.3481
MammalianCells_007,253.0,109.0,93.0,161.0,0.6721,0.5963,0.6339,0.7307,0.6145,0.3301
